"incidnt_num","category","descript","day_of_week","date","time","pd_district","resolution","address","lon","lat","location","id"
"130977173","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Monday","2013-11-18","12:15:00","TARAVAL","PSYCHOPATHIC CASE","1800 Block of VICENTE ST","-122.486","37.739","(37.7388183629026, -122.486155254553)","24218"
"130944445","VEHICLE THEFT","STOLEN AUTOMOBILE","Thursday","2013-11-07","05:45:00","SOUTHERN","NONE","1700 Block of MARKET ST","-122.422","37.773","(37.7729233680138, -122.422028627574)","28020"
"146009150","LARCENY/THEFT","GRAND THEFT OF PROPERTY","Saturday","2014-01-11","21:00:00","SOUTHERN","NONE","800 Block of BRYANT ST","-122.404","37.775","(37.7752316978114, -122.403742962696)","7150"
"131028096","LARCENY/THEFT","PETTY THEFT FROM LOCKED AUTO","Thursday","2013-12-05","17:30:00","INGLESIDE","NONE","0 Block of ONONDAGA AV","-122.438","37.721","(37.7212430765716, -122.437756696679)","18391"
"131006694","NON-CRIMINAL","PROPERTY FOR IDENTIFICATION","Thursday","2013-11-28","08:47:00","CENTRAL","ARREST, BOOKED","300 Block of GREENWICH ST","-122.405","37.803","(37.8029167488659, -122.404933959805)","20826"
"146007524","NON-CRIMINAL","LOST PROPERTY","Thursday","2014-01-09","08:00:00","SOUTHERN","NONE","FOLSOM ST / THE EMBARCADEROSOUTH ST","-122.39","37.791","(37.7907638589303, -122.390094248247)","7626"
"130960861","LARCENY/THEFT","PETTY THEFT SHOPLIFTING","Tuesday","2013-11-12","14:45:00","SOUTHERN","NONE","500 Block of 9TH ST","-122.408","37.771","(37.7706318923182, -122.407663536022)","26264"
"136230995","LARCENY/THEFT","GRAND THEFT OF PROPERTY","Saturday","2013-12-07","19:15:00","INGLESIDE","NONE","BOSWORTH ST / DIAMOND ST","-122.434","37.734","(37.7335506131208, -122.434145789073)","17688"
"130984742","RECOVERED VEHICLE","RECOVERED VEHICLE - STOLEN OUTSIDE SF","Wednesday","2013-11-20","19:31:00","RICHMOND","NONE","2300 Block of BAKER ST","-122.445","37.793","(37.7925648422507, -122.444710165955)","23454"
"130929174","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Friday","2013-11-01","11:00:00","CENTRAL","NONE","1600 Block of THE EMBARCADERONORTH ST","-122.405","37.806","(37.806416458209, -122.404864532748)","29948"
"146007643","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Thursday","2014-01-09","19:00:00","NORTHERN","NONE","700 Block of GOUGH ST","-122.424","37.78","(37.7798771599862, -122.423543373248)","7802"
"140056159","ASSAULT","CHILD ABUSE (PHYSICAL)","Sunday","2014-01-19","21:01:00","MISSION","ARREST, BOOKED","2700 Block of 24TH ST","-122.408","37.753","(37.7529047284639, -122.407891911129)","4202"
"136209649","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Wednesday","2013-11-06","10:30:00","RICHMOND","NONE","500 Block of JOHNFKENNEDY DR","-122.466","37.772","(37.7724965522266, -122.465838183623)","28384"
"130956246","SUSPICIOUS OCC","SUSPICIOUS OCCURRENCE","Sunday","2013-11-10","18:05:00","BAYVIEW","NONE","1100 Block of PALOU AV","-122.382","37.729","(37.7292466931032, -122.382494200956)","26924"
"140083748","ASSAULT","BATTERY","Tuesday","2014-01-28","16:50:00","SOUTHERN","NONE","0 Block of PERRY ST","-122.397","37.782","(37.7822970590895, -122.396555908611)","1185"
"130978121","BURGLARY","BURGLARY OF STORE, UNLAWFUL ENTRY","Monday","2013-11-18","17:35:00","TENDERLOIN","ARREST, BOOKED","100 Block of POWELL ST","-122.408","37.786","(37.7855913858383, -122.407917102537)","24037"
"140074537","WEAPON LAWS","POSS OF PROHIBITED WEAPON","Saturday","2014-01-25","20:38:00","SOUTHERN","ARREST, BOOKED","700 Block of NATOMA ST","-122.413","37.776","(37.7761563630251, -122.412863328117)","2105"
"146007568","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Wednesday","2014-01-08","22:00:00","CENTRAL","NONE","1000 Block of BUSH ST","-122.415","37.789","(37.7894348004686, -122.414737647673)","8172"
"140024037","BURGLARY","BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY","Wednesday","2014-01-08","16:00:00","PARK","NONE","0 Block of FREDERICK ST","-122.445","37.768","(37.7675472612626, -122.4446452975)","7911"
"131057421","DRIVING UNDER THE INFLUENCE","DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL","Monday","2013-12-16","20:00:00","INGLESIDE","ARREST, BOOKED","SAN JOSE AV / RANDALL ST","-122.424","37.74","(37.7398702066093, -122.424147588961)","14965"
"130951989","ASSAULT","BATTERY","Saturday","2013-11-09","19:50:00","SOUTHERN","NONE","1300 Block of MARKET ST","-122.416","37.777","(37.7774556073884, -122.41628227411)","27504"
"136236567","LARCENY/THEFT","GRAND THEFT FROM UNLOCKED AUTO","Monday","2013-12-16","20:00:00","TARAVAL","NONE","35TH AV / IRVING ST","-122.494","37.763","(37.7628034320496, -122.49426969647)","14993"
